"San Jose"
"Detailed Monthly Actual (Unaudited) - PS-PARKS, RECREATION & NEIGH"
"Download generated on 07/08/2026"

"Funds Filter","Cash Reserve Fund","General Fund"

"","September 2012-13 Actual","September 2013-14 Actual","September 2014-15 Actual","September 2015-16 Actual","September 2016-17 Actual","September 2017-18 Actual","September 2018-19 Actual"
"PS-PARKS, RECREATION & NEIGH"," 6,598,484"," 6,638,961"," 7,472,835"," 7,850,212"," 9,548,395"," 10,322,707"," 10,933,767"

"Total"," 6,598,484"," 6,638,961"," 7,472,835"," 7,850,212"," 9,548,395"," 10,322,707"," 10,933,767"
